"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"IP","PYRRO",7.17405660377358,64,"PYRRO:IP",4.78625
"IP","RAMAN",6.58012578616352,51,"RAMAN:IP",4.78625
"IP","RR",6.49408805031447,46,"RR:IP",4.78625
"IP","ZIF",6.21574232894988,45,"ZIF:IP",4.78625
"MNN","BET",6.06996855345912,84,"BET:MNN",2.945
"MNN","CL",5.58339622641509,63,"CL:MNN",2.945
"MNN","ENEG",3.3441791811064,142,"ENEG:MNN",2.945
"MNN","EPH",5.70949685534591,57,"EPH:MNN",2.945
"MNN","IP",4.97401522674611,116,"IP:MNN",2.945
"MNN","MNN",5.08062893081761,128,"MNN:MNN",2.945
"MNN","MT",4.0362893081761,136,"MT:MNN",2.945
"MNN","NC",6.71232704402516,83,"NC:MNN",2.945
"MNN","NDE",5.66605698883327,94,"NDE:MNN",2.945
"MNN","PTEMP",6.07805031446541,70,"PTEMP:MNN",2.945
"MNN","PTIME",5.5772889605259,73,"PTIME:MNN",2.945
"MNN","PYRID",5.83352201257862,93,"PYRID:MNN",2.945
"MNN","PYRRO",5.82493710691824,78,"PYRRO:MNN",2.945
"MNN","RAMAN",5.73509433962264,63,"RAMAN:MNN",2.945
"MNN","RR",5.27974842767296,80,"RR:MNN",2.945
"MNN","ZIF",5.35258242805413,57,"ZIF:MNN",2.945
"MT","BET",5.98009433962264,90,"BET:MT",3.045
"MT","CL",4.71849056603774,80,"CL:MT",3.045
"MT","ENEG",2.89122063919908,148,"ENEG:MT",3.045
"MT","EPH",5.56723270440252,61,"EPH:MT",3.045
"MT","IP",4.45845746441576,117,"IP:MT",3.045
"MT","MNN",3.56792452830189,144,"MNN:MT",3.045
"MT","MT",3.4077358490566,142,"MT:MT",3.045
"MT","NC",6.52135220125786,82,"NC:MT",3.045
"MT","NDE",4.84068155564112,112,"NDE:MT",3.045
"MT","PTEMP",5.54603773584906,81,"PTEMP:MT",3.045
"MT","PTIME",5.03732498972852,85,"PTIME:MT",3.045
"MT","PYRID",6.30037735849057,87,"PYRID:MT",3.045
"MT","PYRRO",4.82150943396226,91,"PYRRO:MT",3.045
"MT","RAMAN",5.50088050314465,71,"RAMAN:MT",3.045
"MT","RR",5.25383647798742,81,"RR:MT",3.045
"MT","ZIF",5.310558414332,66,"ZIF:MT",3.045
"NC","BET",3.11915094339623,136,"BET:NC",2.645
"NC","CL",3.76377358490566,110,"CL:NC",2.645
"NC","ENEG",2.71300218200488,149,"ENEG:NC",2.645
"NC","EPH",3.86635220125786,109,"EPH:NC",2.645
"NC","IP",3.83035418735518,122,"IP:NC",2.645
"NC","MNN",2.03911949685535,158,"MNN:NC",2.645
"NC","MT",2.76012578616352,145,"MT:NC",2.645
"NC","NC",3.33663522012579,144,"NC:NC",2.645
"NC","NDE",4.28356436914388,114,"NDE:NC",2.645
"NC","PTEMP",3.64528301886792,119,"PTEMP:NC",2.645
"NC","PTIME",4.24939161214879,103,"PTIME:NC",2.645
"NC","PYRID",2.86581761006289,146,"PYRID:NC",2.645
"NC","PYRRO",3.60213836477987,123,"PYRRO:NC",2.645
"NC","RAMAN",3.18270440251572,124,"RAMAN:NC",2.645
"NC","RR",3.68729559748428,115,"RR:NC",2.645
"NC","ZIF",3.41214027063084,108,"ZIF:NC",2.645
"NDE","BET",8.32572327044025,53,"BET:NDE",4.4445
"NDE","CL",6.62238993710692,43,"CL:NDE",4.4445
"NDE","ENEG",7.70324733667052,115,"ENEG:NDE",4.4445
"NDE","EPH",6.93437106918239,36,"EPH:NDE",4.4445
"NDE","IP",7.70440251572327,83,"IP:NDE",4.4445
"NDE","MNN",7.95509433962264,96,"MNN:NDE",4.4445
"NDE","MT",7.93270440251572,89,"MT:NDE",4.4445
"NDE","NC",7.44238993710692,75,"NC:NDE",4.4445
"NDE","NDE",7.51658965472982,76,"NDE:NDE",4.4445
"NDE","PTEMP",7.59471698113208,35,"PTEMP:NDE",4.4445
"NDE","PTIME",7.21664928415663,38,"PTIME:NDE",4.4445
"NDE","PYRID",7.91751572327044,62,"PYRID:NDE",4.4445
"NDE","PYRRO",6.82770440251572,62,"PYRRO:NDE",4.4445
"NDE","RAMAN",6.92125786163522,43,"RAMAN:NDE",4.4445
"NDE","RR",6.69157232704403,51,"RR:NDE",4.4445
"NDE","ZIF",6.27234610253478,45,"ZIF:NDE",4.4445
"PTEMP","BET",4.67943396226415,117,"BET:PTEMP",3.535
"PTEMP","CL",4.52025157232704,97,"CL:PTEMP",3.535
"PTEMP","ENEG",4.18072134514183,139,"ENEG:PTEMP",3.535
"PTEMP","EPH",4.68437106918239,86,"EPH:PTEMP",3.535
"PTEMP","IP",4.77259185700099,115,"IP:PTEMP",3.535
"PTEMP","MNN",4.1262893081761,145,"MNN:PTEMP",3.535
"PTEMP","MT",4.26264150943396,135,"MT:PTEMP",3.535
"PTEMP","NC",4.57833333333333,126,"NC:PTEMP",3.535
"PTEMP","NDE",5.06915030163009,104,"NDE:PTEMP",3.535
"PTEMP","PTEMP",5.22849056603774,102,"PTEMP:PTEMP",3.535
"PTEMP","PTIME",5.57011472456623,82,"PTIME:PTEMP",3.535
"PTEMP","PYRID",4.64018867924528,121,"PYRID:PTEMP",3.535
"PTEMP","PYRRO",4.02154088050314,114,"PYRRO:PTEMP",3.535
"PTEMP","RAMAN",4.75421383647799,95,"RAMAN:PTEMP",3.535
"PTEMP","RR",4.8925786163522,93,"RR:PTEMP",3.535
"PTEMP","ZIF",4.65812210151833,86,"ZIF:PTEMP",3.535
"PTIME","BET",6.03481132075472,110,"BET:PTIME",4.266125
"PTIME","CL",5.54037735849057,77,"CL:PTIME",4.266125
"PTIME","ENEG",4.68181234758054,137,"ENEG:PTIME",4.266125
"PTIME","EPH",5.50132075471698,77,"EPH:PTIME",4.266125
"PTIME","IP",5.6267792121814,108,"IP:PTIME",4.266125
"PTIME","MNN",5.14503144654088,136,"MNN:PTIME",4.266125
"PTIME","MT",4.99182389937107,129,"MT:PTIME",4.266125
"PTIME","NC",5.30330188679245,124,"NC:PTIME",4.266125
"PTIME","NDE",5.65405596200744,104,"NDE:PTIME",4.266125
"PTIME","PTEMP",5.67245283018868,91,"PTEMP:PTIME",4.266125
"PTIME","PTIME",5.86839859675737,76,"PTIME:PTIME",4.266125
"PTIME","PYRID",5.65581761006289,104,"PYRID:PTIME",4.266125
"PTIME","PYRRO",5.33833333333333,96,"PYRRO:PTIME",4.266125
"PTIME","RAMAN",5.46106918238994,82,"RAMAN:PTIME",4.266125
"PTIME","RR",5.25433962264151,97,"RR:PTIME",4.266125
"PTIME","ZIF",5.48942252715838,69,"ZIF:PTIME",4.266125
"PYRID","BET",3.0661320754717,138,"BET:PYRID",2.73
"PYRID","CL",3.39471698113208,113,"CL:PYRID",2.73
"PYRID","ENEG",2.3230008984726,152,"ENEG:PYRID",2.73
"PYRID","EPH",3.8535534591195,106,"EPH:PYRID",2.73
"PYRID","IP",4.05660377358491,121,"IP:PYRID",2.73
"PYRID","MNN",2.14465408805031,159,"MNN:PYRID",2.73
"PYRID","MT",2.45842767295597,148,"MT:PYRID",2.73
"PYRID","NC",2.80493710691824,148,"NC:PYRID",2.73
"PYRID","NDE",4.24399948658709,115,"NDE:PYRID",2.73
"PYRID","PTEMP",3.63421383647799,123,"PTEMP:PYRID",2.73
"PYRID","PTIME",4.22783729970608,109,"PTIME:PYRID",2.73
"PYRID","PYRID",3.48748427672956,137,"PYRID:PYRID",2.73
"PYRID","PYRRO",3.3325786163522,127,"PYRRO:PYRID",2.73
"PYRID","RAMAN",3.99132075471698,105,"RAMAN:PYRID",2.73
"PYRID","RR",3.71798742138365,116,"RR:PYRID",2.73
"PYRID","ZIF",3.12794612794613,109,"ZIF:PYRID",2.73
"PYRRO","BET",4.10751572327044,126,"BET:PYRRO",3.265
"PYRRO","CL",4.02817610062893,101,"CL:PYRRO",3.265
"PYRRO","ENEG",3.01700680272109,148,"ENEG:PYRRO",3.265
"PYRRO","EPH",4.03572327044025,103,"EPH:PYRRO",3.265
