IP,ENEG,NDE,ZIF,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,RR,FLOWCELL,EC,CL,EPH,CD
0,0,0,0,0,0,0,9.046276646,0,44.1,29.9,0.89,899,900,5,0,0.1,1,6.8,0.77919
7.61,1.91,8,1,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,1.074301081,741,900,5,0,0.5,1,7.2,28.50164
0,0,0,0,0,0,0,4.998423688,0,25.17482517,48.85114885,1.110756859,688,975,5.021653435,0,0.1,0.4,7.5,5.1621186
7.61,1.91,8,0,0,0,2.4,6.691455747,4,48.1,15.2,1.01,210,800,5.977766973,0,0.5,0.25,7.4,19.44529
7.83,1.83,6,0,0,0,3,3,4,38.7,8,1.118621251,430.1,900,5,0,0.5,1,7.2,3.422
7.83,1.83,6,1,0,0,3.4,5.270791155,4,64.9751733,16.84130836,0.907638376,623.4831989,1050,8.02780492,0,0.5,1,7.2,1.572016247
7.83,1.83,6,0,0,0,0.047765564,6.499302535,4,38,18.9,0.97,441.5510748,900,2,0,0.5,2.5,7.65,0.5973
7.61,1.91,8,0,0,0,1.31087,11.93215,3.8,58.91462145,24.01089983,0.97,582.6,900,10,0,0.5,0.2,7.2,27.74506
7.83,1.83,6,0,0,0,1.75,7.556611419,4,45.39,11.35,1.055266294,367,900,6.246802621,0,0.5,1,7.2,4.344699
8.95,1.69,10,0,0,0,6.7,11.03143536,4,57.3,5.1,0.98,510.5,850,1,0,0.5,1.5,7.2,4.56512
7.83,1.83,6,1,0,0,4.58,8.93,4,36.54,36.17,1,1164.6,900,5,0,0.5,0.4,7.3,2.86327
0,0,0,1,0,0,0,5.41,0,42.51386322,11.46025878,1.008561022,623.2403505,1000,4.914007434,0,0.5,1,7.2,0.07779
0,0,0,0,0,1,0,10.2,0,61.88990826,21.5733945,0.57,466.25,900,5,0,0.5,0.936,7.2,0.21909
7.61,1.91,8,0,0,0,2.404145078,4.117975289,4,37.16283716,45.15484515,0.87,895.8,900,5,0,0.1,0.5,6.8,0.40089
0,0,0,0,0,1,0,1.23,0,27.99,51.79,1.359341797,2801,900,5,0,0.5,0.857069373,7.2,0.32
7.61,1.91,8,1,0,0,5.32,7.674559146,3.83,54.4,16.7,1.065863632,914.801657,1000,5,0,0.5,3,7.33,31.11061
9.35,1.65,10,0,0,0,0.1,0.46,4,60.86956522,28.26086957,3.11,1402.4,1000,9.947334019,0,0.5,1,7.2,1.12883199
7.83,1.83,6,0,1,0,2.364327238,3.86,4,47.66839378,8.29015544,1.37,868.5081209,850,2,0,0.1,0.3,6.8,0.15151
7.61,1.91,8,0,0,0,0.121,3.03,4.2,57.42574257,27.06270627,1.04,1585,1000,5,0,0.1,1,8,3.22
7.61,1.91,8,0,0,0,2.8,3.03,4,33.99339934,11.55115512,1.017,634,800,5,0,0.1,1,6.8,11.06635
7.61,1.91,8,1,0,0,5.44,10.35,2.4,53.71980676,29.75845411,1.002435099,871,1000,3,0,1,2,8.8,45.25
0,0,0,0,0,1,0,9.046223958,0,23.42158859,18.73727088,1.05,497.7209627,900,5,0,0.1,0.4,6.8,0.152
7.83,1.83,6,1,0,0,0.59,4.05,3,43.7037037,17.77777778,1.108008553,1243,1000,5.488241642,0,0.5,1,7.2,1.57226
7.83,1.83,6,0,1,0,1.75,2.8,4.7,61,15,1.055897879,224,900,5.286583338,0,1,0.8,8.8,28.54721
7.61,1.91,8,0,0,0,0.8,5.82,4,28.2,9.1,1.14,204,1000,5,0,0.5,0.3,7.2,9.793
7.81,1.88,7,1,0,0,0.25,15.8146,2.2,54.51531953,24.36164919,1.083012286,651.3157736,1000,5,0,0.5,0.8,6.8,15.04556438
7.83,1.83,6,0,0,0,1.943586207,7.33,4,41.27103246,19.55416971,1.140595661,492.2024542,750,4.293429453,0,0.5,0.2,7.2,0.124309042
0,0,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,1.11,1223,600,1,0,0.1,1.6,6.8,0.29297
7.61,1.91,8,0,0,1,4.05,9.6,4,63.87902162,15.5384147,1.032877833,648,800,3,1,1,0.25,13.8,140.20478
7.61,1.91,8,0,1,0,4.943806424,12.26278941,4,47.78,16.73,0.94,310.6,700,2,0,0.5,0.2,7.3,3.698359
7.61,1.91,8,0,0,1,0.6,7.353218675,4,40.16881502,5.69259962,1.152836552,394.137751,900,3,0,0.5,0.2,7.2,6.53528
0,0,0,0,0,1,0,4.071082391,0,26.7,61.4,0.99,1269,700,4,0,0.5,0.07,7.2,6.61
7.37,1.96,10,0,0,0,1.54839972,1.380985766,4,0,0,1.159866736,598.1531838,1100,3,0,0.1,0.325,6.8,0.172878468
7.61,1.91,8,0,0,1,3.28,7.520896137,4,54.35094773,31.66283745,0.98,261,900,3,0,0.5,0.1,7.2,5.547005
0,0,0,0,0,0,0,5,0,20.87067862,4.494238156,1.003142154,1510,900,5,0,0.1,0.900386034,6.8,2.760827162
7.83,1.83,6,0,0,0,1.35,8.678522853,12,34.19630615,16.82393741,1.07287687,286.3,900,6.536066084,0,0.5,1,7.2,3.9799891
0,0,0,0,1,0,0,9.52,0,25.1,47.5,0.47,246,800,9.689099831,0,0.1,2,6.8,2.38989
7.83,1.83,6,0,1,0,1.75,2.8,4.7,61,15,1.006149234,224,900,6.50376851,0,0.1,0.8,6.8,16.81
0,0,0,0,0,1,0,21.4,0,61,0,1.181758692,144,850,3,0,0.1,0.5,6.8,1.6082
0,0,0,0,1,0,0,2.05,0,58.7,33.9,0.744,589.7285918,500,5,0,0.5,0.3537,7.3,7.53731
7.83,1.83,6,0,1,0,11.9199485,17.02996079,4,42.07,50.81,1.02,720.81,800,5.97572396,0,0.5,1,7.2,0.6533
0,0,0,1,0,0,0,11.8797625,0,46.8486813,30.20721968,1.04,475,900,5,0,0.1,0.4,6.8,4.4381
7.83,1.83,6,0,0,0,3.4,3.4,4,44.4,4.7,1.119818719,547.6286857,900,5,0,0.5,1,7.2,9.42
7.61,1.91,8,0,1,0,3.531120796,5.609565315,4,46.95443,41.72056,1.372962626,826.700258,700,2,0,0.5,0.757590188,7.2,3.605
7.61,1.91,8,0,0,0,1,5.25,4,35.19054311,31.24741671,1.015946332,520.2360027,950,5,0,0.1,1,6.8,10.30712
7.83,1.83,6,0,0,0,1.64,7.10487763,4,35.7,55.9,1.371312703,910.2742293,750,5,0,0.5,1,7.2,95.64474
0,0,0,0,0,0,0,4.243117392,0,33.56643357,57.64235764,0.88,1004.7,900,5,0,0.1,0.5,6.8,0.1704
7.61,1.91,8,1,0,0,8.2,38.23361945,2.1,74.86590282,25.13409718,1.08,91.4,550,5,0,0.5,1,7.2,11.69465
0,0,0,0,0,0,0,6.939267169,0,44.4,32.7,0.89,104,900,5,0,0.1,1,6.8,0.05174
7.61,1.91,8,0,0,0,1,1.45,4,54.23719,15.32941,1.534502868,953.8692465,950,6.003049765,0,0.1,1.414,6.8,2.55739
7.61,1.91,8,0,0,0,1,0.54,4,40.1734,7.66749,1.644115078,926.6043544,900,6.913061896,0,0.1,1.414,6.8,0.64236
7.61,1.91,8,0,1,0,0.17,2.3,3.2,57.72292994,28.125,1.435293653,971.9094346,850,2.2,0,0.5,2,7.2,9.35
7.83,1.83,6,0,0,0,2.7,2.7,4,44.4,4.7,1.11747328,561.273538,900,5,0,0.5,1,7.2,2.79
7.83,1.83,6,1,0,0,0.64,10.15,4,61.49936468,19.69504447,0.94,705,900,3,0,1,2,8.8,1.95102
7.37,1.96,10,1,0,0,1.8,6.024113819,4.3,26.31,8.65,1.074370558,581.3,950,4.530246928,1,1,1,8.8,51.2754
0,0,0,1,0,0,0,9.471094711,0,60.25630676,16.30081848,0.98,732,900,2,0,0.1,4,6.8,0.524
7.61,1.91,8,0,0,0,1,3.87,4,31.5281963,27.20619888,0.972243799,492.7202714,950,5,0,0.1,1,6.8,3.62805
7.61,1.91,8,0,0,1,2.7,8.07019133,4,70,13.19,1.04,521.7646216,800,5.186529766,0,0.5,1,7.2,13
0,0,0,0,0,1,0,1.64,0,11.27,70.96,0.88,1450.3,900,5,0,0.1,0.8,6.8,0.072409005
0,0,0,0,1,0,0,5,0,30,23,0.87,608.0382587,850,7.656186604,0,0.1,0.5,6.8,1.05704
7.61,1.91,8,1,0,0,0.72,11.37,2.7,63.67634125,21.63588391,1.001966825,893,900,3,0,1,2,8.8,16.87
