"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"FLOWCELL","NC",7.52826923076923,13,"NC:FLOWCELL",3.8403
"FLOWCELL","NDE",7.64197409733124,43,"NDE:FLOWCELL",3.8403
"FLOWCELL","PTEMP",6.35717948717949,12,"PTEMP:FLOWCELL",3.8403
"FLOWCELL","PYRID",7.84858974358974,24,"PYRID:FLOWCELL",3.8403
"FLOWCELL","PYRRO",8.34679487179487,17,"PYRRO:FLOWCELL",3.8403
"FLOWCELL","RAMAN",7.22974358974359,12,"RAMAN:FLOWCELL",3.8403
"FLOWCELL","RR",6.07692307692308,8,"RR:FLOWCELL",3.8403
"IP","BET",6.03102564102564,68,"BET:IP",4.79335
"IP","CL",6.75089743589743,59,"CL:IP",4.79335
"IP","ENEG",6.43550696342575,118,"ENEG:IP",4.79335
"IP","EPH",6.84830128205128,89,"EPH:IP",4.79335
"IP","FLOWCELL",7.28794577070439,100,"FLOWCELL:IP",4.79335
"IP","IP",5.97572073867411,77,"IP:IP",4.79335
"IP","MNN",6.66205128205128,84,"MNN:IP",4.79335
"IP","MT",6.17003205128205,101,"MT:IP",4.79335
"IP","NC",5.85282051282051,64,"NC:IP",4.79335
"IP","NDE",6.18350994243851,89,"NDE:IP",4.79335
"IP","PTEMP",5.62134615384615,45,"PTEMP:IP",4.79335
"IP","PYRID",6.73115384615385,72,"PYRID:IP",4.79335
"IP","PYRRO",6.85576923076923,71,"PYRRO:IP",4.79335
"IP","RAMAN",6.31051282051282,52,"RAMAN:IP",4.79335
"IP","RR",5.47596153846154,43,"RR:IP",4.79335
"MNN","BET",5.04641025641026,88,"BET:MNN",3.22
"MNN","CL",4.41512820512821,108,"CL:MNN",3.22
"MNN","ENEG",3.10308473252636,141,"ENEG:MNN",3.22
"MNN","EPH",3.61596153846154,138,"EPH:MNN",3.22
"MNN","FLOWCELL",4.18810786914235,135,"FLOWCELL:MNN",3.22
"MNN","IP",4.92364155706125,95,"IP:MNN",3.22
"MNN","MNN",4.28294871794872,120,"MNN:MNN",3.22
"MNN","MT",3.49919871794872,131,"MT:MNN",3.22
"MNN","NC",4.48762820512821,95,"NC:MNN",3.22
"MNN","NDE",4.57309654631083,105,"NDE:MNN",3.22
"MNN","PTEMP",4.6901282051282,74,"PTEMP:MNN",3.22
"MNN","PYRID",4.87022435897436,99,"PYRID:MNN",3.22
"MNN","PYRRO",4.35961538461538,107,"PYRRO:MNN",3.22
"MNN","RAMAN",4.49365384615385,90,"RAMAN:MNN",3.22
"MNN","RR",4.34615384615385,72,"RR:MNN",3.22
"MT","BET",4.37365384615385,103,"BET:MT",2.405
"MT","CL",3.68461538461538,116,"CL:MT",2.405
"MT","ENEG",2.66826109592607,147,"ENEG:MT",2.405
"MT","EPH",2.66701923076923,145,"EPH:MT",2.405
"MT","FLOWCELL",2.86531093427645,148,"FLOWCELL:MT",2.405
"MT","IP",4.49375581240866,104,"IP:MT",2.405
"MT","MNN",3.29592948717949,135,"MNN:MT",2.405
"MT","MT",3.09608974358974,138,"MT:MT",2.405
"MT","NC",4.56455128205128,95,"NC:MT",2.405
"MT","NDE",4.30635138670853,113,"NDE:MT",2.405
"MT","PTEMP",4.26442307692308,81,"PTEMP:MT",2.405
"MT","PYRID",4.35278846153846,107,"PYRID:MT",2.405
"MT","PYRRO",4.16474358974359,113,"PYRRO:MT",2.405
"MT","RAMAN",3.90875,107,"RAMAN:MT",2.405
"MT","RR",3.88461538461538,88,"RR:MT",2.405
"NC","BET",3.69910256410256,114,"BET:NC",3.28
"NC","CL",3.03282051282051,130,"CL:NC",3.28
"NC","ENEG",2.67574515163348,153,"ENEG:NC",3.28
"NC","EPH",2.76294871794872,152,"EPH:NC",3.28
"NC","FLOWCELL",3.08001768346596,144,"FLOWCELL:NC",3.28
"NC","IP",4.0705460342766,107,"IP:NC",3.28
"NC","MNN",3.1263141025641,139,"MNN:NC",3.28
"NC","MT",2.80051282051282,140,"MT:NC",3.28
"NC","NC",3.35794871794872,124,"NC:NC",3.28
"NC","NDE",3.94443354264783,119,"NDE:NC",3.28
"NC","PTEMP",3.42057692307692,109,"PTEMP:NC",3.28
"NC","PYRID",3.55964743589744,129,"PYRID:NC",3.28
"NC","PYRRO",3.12307692307692,138,"PYRRO:NC",3.28
"NC","RAMAN",3.12182692307692,123,"RAMAN:NC",3.28
"NC","RR",3.51442307692308,103,"RR:NC",3.28
"NDE","BET",6.37820512820513,56,"BET:NDE",4.3062
"NDE","CL",6.54666666666667,62,"CL:NDE",4.3062
"NDE","ENEG",6.95171157100091,119,"ENEG:NDE",4.3062
"NDE","EPH",7.24596153846154,82,"EPH:NDE",4.3062
"NDE","FLOWCELL",7.84792219274978,87,"FLOWCELL:NDE",4.3062
"NDE","IP",7.17483725255746,68,"IP:NDE",4.3062
"NDE","MNN",6.33182692307692,95,"MNN:NDE",4.3062
"NDE","MT",5.93355769230769,99,"MT:NDE",4.3062
"NDE","NC",6.35647435897436,53,"NC:NDE",4.3062
"NDE","NDE",6.00922291993721,98,"NDE:NDE",4.3062
"NDE","PTEMP",5.66858974358974,46,"PTEMP:NDE",4.3062
"NDE","PYRID",6.91615384615385,68,"PYRID:NDE",4.3062
"NDE","PYRRO",6.78717948717949,74,"PYRRO:NDE",4.3062
"NDE","RAMAN",6.1374358974359,52,"RAMAN:NDE",4.3062
"NDE","RR",5.34935897435897,42,"RR:NDE",4.3062
"PTEMP","BET",4.57282051282051,104,"BET:PTEMP",3.95
"PTEMP","CL",4.11653846153846,117,"CL:PTEMP",3.95
"PTEMP","ENEG",3.46010672914226,148,"ENEG:PTEMP",3.95
"PTEMP","EPH",3.84660256410256,142,"EPH:PTEMP",3.95
"PTEMP","FLOWCELL",4.31712348953728,136,"FLOWCELL:PTEMP",3.95
"PTEMP","IP",5.09226783579115,99,"IP:PTEMP",3.95
"PTEMP","MNN",4.02288461538461,138,"MNN:PTEMP",3.95
"PTEMP","MT",3.73782051282051,136,"MT:PTEMP",3.95
"PTEMP","NC",3.57423076923077,122,"NC:PTEMP",3.95
"PTEMP","NDE",4.53712061747776,113,"NDE:PTEMP",3.95
"PTEMP","PTEMP",4.55833333333333,86,"PTEMP:PTEMP",3.95
"PTEMP","PYRID",4.23092948717949,121,"PYRID:PTEMP",3.95
"PTEMP","PYRRO",4.16346153846154,121,"PYRRO:PTEMP",3.95
"PTEMP","RAMAN",4.64147435897436,94,"RAMAN:PTEMP",3.95
"PTEMP","RR",4.24519230769231,91,"RR:PTEMP",3.95
"PYRID","BET",3.0625641025641,124,"BET:PYRID",3.01
"PYRID","CL",2.99435897435897,130,"CL:PYRID",3.01
"PYRID","ENEG",1.98984771573604,153,"ENEG:PYRID",3.01
"PYRID","EPH",2.40394230769231,153,"EPH:PYRID",3.01
"PYRID","FLOWCELL",3.25869437076334,143,"FLOWCELL:PYRID",3.01
"PYRID","IP",3.49113192506975,115,"IP:PYRID",3.01
"PYRID","MNN",2.88532051282051,142,"MNN:PYRID",3.01
"PYRID","MT",2.86105769230769,141,"MT:PYRID",3.01
"PYRID","NC",3.16788461538462,119,"NC:PYRID",3.01
"PYRID","NDE",3.8684916274202,117,"NDE:PYRID",3.01
"PYRID","PTEMP",3.22589743589744,108,"PTEMP:PYRID",3.01
"PYRID","PYRID",2.85724358974359,134,"PYRID:PYRID",3.01
"PYRID","PYRRO",3.04038461538462,139,"PYRRO:PYRID",3.01
"PYRID","RAMAN",3.42875,115,"RAMAN:PYRID",3.01
"PYRID","RR",3.38301282051282,101,"RR:PYRID",3.01
"PYRRO","BET",3.54615384615385,116,"BET:PYRRO",2.9
"PYRRO","CL",3.21628205128205,129,"CL:PYRRO",2.9
"PYRRO","ENEG",2.0478979565274,155,"ENEG:PYRRO",2.9
"PYRRO","EPH",2.17971153846154,149,"EPH:PYRRO",2.9
"PYRRO","FLOWCELL",2.54000884173298,150,"FLOWCELL:PYRRO",2.9
"PYRRO","IP",3.90165404543643,109,"IP:PYRRO",2.9
"PYRRO","MNN",2.57294871794872,144,"MNN:PYRRO",2.9
"PYRRO","MT",2.44512820512821,148,"MT:PYRRO",2.9
"PYRRO","NC",3.29942307692308,123,"NC:PYRRO",2.9
"PYRRO","NDE",3.28492935635793,124,"NDE:PYRRO",2.9
"PYRRO","PTEMP",3.38141025641026,106,"PTEMP:PYRRO",2.9
"PYRRO","PYRID",3.37192307692308,128,"PYRID:PYRRO",2.9
"PYRRO","PYRRO",3.50448717948718,133,"PYRRO:PYRRO",2.9
"PYRRO","RAMAN",3.72304487179487,109,"RAMAN:PYRRO",2.9
"PYRRO","RR",3.56410256410256,92,"RR:PYRRO",2.9
"RAMAN","BET",3.23474358974359,122,"BET:RAMAN",3.23
"RAMAN","CL",3.2675641025641,129,"CL:RAMAN",3.23
"RAMAN","ENEG",2.53097748275413,150,"ENEG:RAMAN",3.23
