IP,ENEG,NDE,ZIF,POLY,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,EC,CL,NMT,CPGC,EPH,ovp
0,0,0,0,0,1,0,0,24.65026532,0,38.11,52.4,1,475.65,800,2,5.381331393,0.5,1,177.8,0,7.2,0.62
7.61,1.91,8,1,0,0,0,13.18585375,10.65163902,4,58.69083197,0,1.020776112,601.1285316,450,2,5,0.5,1,127,1,7.2,0.77
7.83,1.83,6,1,0,0,0,2.1,3.895035339,4,44.41299366,0,1.319639984,1259.477708,1000,3,5,0.5,0.4,177.8,1,7.2,0.4
7.61,1.91,8,0,0,0,0,1.5,4.957115045,4,39.16993831,20.39259675,1.096410213,398.4671967,1000,2,5,0.5,0.5,177.8,0,7.3,0.69
9.35,1.65,10,0,0,0,0,0.42,5.126426228,4,38.23823824,30.43043043,1.0354602,690,975,0.75,5.974074009,0.1,0.4,177.8,0,7.5,0.54
7.61,1.91,8,0,0,0,0,1,1.79,4,7.11087,70.70166,1.269007201,993.5920172,1100,2,9.500001059,0.1,1.414,177.8,0,6.8,0.69
7.83,1.83,6,0,1,0,0,1.616423984,3.706157115,4,29.5,10,1.046333642,365.9,950,0.167,10,0.1,1,127,0,6.8,0.42
7.61,1.91,8,0,1,0,0,5,4.890768374,4,44.54040716,0,1.289380073,791.9699768,750,2,3,0.1,0.2,177.8,0,6.8,0.71
9.35,1.65,10,0,0,0,1,0.34,1.671331215,4.2,58.91,23.11,2.49,2176.56,900,2,5,0.5,1,127,1,7.2,0.33
7.61,1.91,8,0,0,0,0,1.79,2.5,3.5,56.42837118,28.21418559,1.066592428,214,650,2,10,0.5,2,177.8,1,7.2,0.74
7.37,1.96,10,0,1,0,0,16.24969381,2.370282849,4,24.8,0,1.3,763.4571952,1000,2,3,0.1,0.325,177.8,1,6.8,0.39
0,0,0,0,0,1,0,0,8.26,0,41.8,0,0.91,546,900,0.985984464,9.148714324,0.1,5,177.8,1,6.8,0.69
7.83,1.83,6,0,0,0,0,0.927554774,4.365904366,3.8,46.5,42.1,0.943834423,102.20606,900,1,30,0.1,0.75,50,0,6.8,0.42
7.61,1.91,8,0,0,0,1,2.63,4.67,4,48.72,34.7,1.063060347,103,900,2,5,0.5,0.701392981,177.8,1,7.2,0.46
0,0,0,0,0,0,1,0,4.68,0,17.46724891,14.41048035,1.063640768,235.8,700,2.62593957,3.692051069,0.5,0.2,177.8,1,7.3,0.29
6.74,1.66,5,0,0,0,1,2.22,12.51,4,48.76099121,0,1.157340995,313.9293573,900,1,3,0.1,0.3,127,1,6.8,0.75
7.83,1.83,6,1,0,0,0,2.358814426,4.95598705,4.4,41.42857143,13.98221931,0.93,622.18399,900,1,10,0.1,0.4,127,1,6.8,0.49
7.83,1.83,6,0,0,0,0,1.33,1.38,3.6,40.5,34.1,1.03,217,1000,1,5,0.1,0.58,177.8,1,6.8,0.39
7.81,1.88,7,1,0,0,0,0.25,15.8146,2.2,54.51531953,24.36164919,1.083012286,651.3157736,1000,3,5,0.5,0.8,127,1,6.8,0.57
7.83,1.83,6,0,0,0,0,1.64,7.59719352,4,38.57,20.97,1.022,483.9650926,800,2,5,0.5,1,177.8,1,7.2,0.29
7.83,1.83,6,0,1,0,0,3.796292065,9.106835458,4,55.4,23.6,1.04,514.4677186,700,2,2,0.5,2.5,177.8,1,7.2,0.34
7.4,1.55,5,0,0,0,0,0.74,5.552526384,4,40.8,28.7,1.002118741,542,975,0.75,5.313578716,0.1,0.4,177.8,0,7.5,0.54
8.95,1.69,10,0,0,0,0,3.5,9.442286651,4,49.2,4.9,0.93,615.9,850,2,1,0.5,1.5,177.8,1,7.2,0.62
