"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"PTEMP","PTEMP",9.04,4,"PTEMP:PTEMP",2.8
"PTEMP","PYRID",4.22,8,"PYRID:PTEMP",2.8
"PTEMP","PYRRO",6,5,"PYRRO:PTEMP",2.8
"PTEMP","RAMAN",6.76,4,"RAMAN:PTEMP",2.8
"PTEMP","RR",5.35,5,"RR:PTEMP",2.8
"PTIME","BET",6.24,7,"BET:PTIME",4.8
"PTIME","CL",3.94,8,"CL:PTIME",4.8
"PTIME","EC",4.19,7,"EC:PTIME",4.8
"PTIME","ENEG",8.03333333333333,7,"ENEG:PTIME",4.8
"PTIME","EPH",7.65,7,"EPH:PTIME",4.8
"PTIME","IP",4.84,9,"IP:PTIME",4.8
"PTIME","MNN",8.23,3,"MNN:PTIME",4.8
"PTIME","MT",6.89,7,"MT:PTIME",4.8
"PTIME","NC",4.45,5,"NC:PTIME",4.8
"PTIME","NDE",6.22,4,"NDE:PTIME",4.8
"PTIME","PTEMP",5.86,6,"PTEMP:PTIME",4.8
"PTIME","PYRID",6.94,6,"PYRID:PTIME",4.8
"PTIME","PYRRO",7.42,4,"PYRRO:PTIME",4.8
"PTIME","RAMAN",5.24,6,"RAMAN:PTIME",4.8
"PTIME","RR",5.09,7,"RR:PTIME",4.8
"PYRID","BET",5.12,6,"BET:PYRID",3.6
"PYRID","CL",5.21,7,"CL:PYRID",3.6
"PYRID","EC",3.79,7,"EC:PYRID",3.6
"PYRID","ENEG",5.42222222222222,8,"ENEG:PYRID",3.6
"PYRID","EPH",6.35,7,"EPH:PYRID",3.6
"PYRID","IP",3.94,9,"IP:PYRID",3.6
"PYRID","MNN",5.15,5,"MNN:PYRID",3.6
"PYRID","MT",4.36,8,"MT:PYRID",3.6
"PYRID","NC",4.24,6,"NC:PYRID",3.6
"PYRID","NDE",6.52,4,"NDE:PYRID",3.6
"PYRID","PTEMP",6.35,5,"PTEMP:PYRID",3.6
"PYRID","PYRID",7.88,7,"PYRID:PYRID",3.6
"PYRID","PYRRO",6.94,3,"PYRRO:PYRID",3.6
"PYRID","RAMAN",6.76,4,"RAMAN:PYRID",3.6
"PYRID","RR",5.35,5,"RR:PYRID",3.6
"PYRRO","BET",4.94,7,"BET:PYRRO",4.6
"PYRRO","CL",6.08,6,"CL:PYRRO",4.6
"PYRRO","EC",5.02,6,"EC:PYRRO",4.6
"PYRRO","ENEG",5.52222222222222,8,"ENEG:PYRRO",4.6
"PYRRO","EPH",6.55,7,"EPH:PYRRO",4.6
"PYRRO","IP",6.68,8,"IP:PYRRO",4.6
"PYRRO","MNN",7.24,4,"MNN:PYRRO",4.6
"PYRRO","MT",6.72,6,"MT:PYRRO",4.6
"PYRRO","NC",4.86,4,"NC:PYRRO",4.6
"PYRRO","NDE",7.44,3,"NDE:PYRRO",4.6
"PYRRO","PTEMP",7.74,4,"PTEMP:PYRRO",4.6
"PYRRO","PYRID",4.78,7,"PYRID:PYRRO",4.6
"PYRRO","PYRRO",6.1,5,"PYRRO:PYRRO",4.6
"PYRRO","RAMAN",6.15,5,"RAMAN:PYRRO",4.6
"PYRRO","RR",5.02,6,"RR:PYRRO",4.6
"RAMAN","BET",5.72,6,"BET:RAMAN",3.4
"RAMAN","CL",5.91,7,"CL:RAMAN",3.4
"RAMAN","EC",3.79,7,"EC:RAMAN",3.4
"RAMAN","ENEG",6.33333333333333,7,"ENEG:RAMAN",3.4
"RAMAN","EPH",6.45,7,"EPH:RAMAN",3.4
"RAMAN","IP",4.74,9,"IP:RAMAN",3.4
"RAMAN","MNN",4.28,8,"MNN:RAMAN",3.4
"RAMAN","MT",2.9,10,"MT:RAMAN",3.4
"RAMAN","NC",3.94,6,"NC:RAMAN",3.4
"RAMAN","NDE",6.52,4,"NDE:RAMAN",3.4
"RAMAN","PTEMP",5.66,6,"PTEMP:RAMAN",3.4
"RAMAN","PYRID",5.48,7,"PYRID:RAMAN",3.4
"RAMAN","PYRRO",4.88,6,"PYRRO:RAMAN",3.4
"RAMAN","RAMAN",4.44,6,"RAMAN:RAMAN",3.4
"RAMAN","RR",4.72,6,"RR:RAMAN",3.4
"RR","BET",4.94,7,"BET:RR",3.7
"RR","CL",4.98,6,"CL:RR",3.7
"RR","EC",5.55,5,"EC:RR",3.7
"RR","ENEG",6.23333333333333,7,"ENEG:RR",3.7
"RR","EPH",9,6,"EPH:RR",3.7
"RR","IP",4.94,9,"IP:RR",3.7
"RR","MNN",6.84,4,"MNN:RR",3.7
"RR","MT",9.15,5,"MT:RR",3.7
"RR","NC",5.26,4,"NC:RR",3.7
"RR","NDE",6.32,4,"NDE:RR",3.7
"RR","PTEMP",7.47,7,"PTEMP:RR",3.7
"RR","PYRID",6.04,6,"PYRID:RR",3.7
"RR","PYRRO",8.72,4,"PYRRO:RR",3.7
"RR","RAMAN",6.55,5,"RAMAN:RR",3.7
"RR","RR",5.85,5,"RR:RR",3.7
"ZIF","BET",9.26,3,"BET:ZIF",7.7
"ZIF","CL",8.99,3,"CL:ZIF",7.7
"ZIF","EC",7.01,3,"EC:ZIF",7.7
"ZIF","ENEG",10.2555555555556,5,"ENEG:ZIF",7.7
"ZIF","EPH",9.55,7,"EPH:ZIF",7.7
"ZIF","IP",11.16,6,"IP:ZIF",7.7
"ZIF","MNN",7.35,5,"MNN:ZIF",7.7
"ZIF","MT",9.98,4,"MT:ZIF",7.7
"ZIF","NC",6.97,3,"NC:ZIF",7.7
"ZIF","NDE",8.24,3,"NDE:ZIF",7.7
"ZIF","PTEMP",9.64,4,"PTEMP:ZIF",7.7
"ZIF","PYRID",9.22,3,"PYRID:ZIF",7.7
"ZIF","PYRRO",8.86,2,"PYRRO:ZIF",7.7
"ZIF","RAMAN",8.88,2,"RAMAN:ZIF",7.7
"ZIF","RR",7.44,2,"RR:ZIF",7.7
