IP,ENEG,NDE,GRAPHENE,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,FLOWCELL,EC,CL,CPGC,EPH,TOF
7.83,1.83,6,0,0,0,1.33,1.38,3.6,40.5,34.1,1.03,217,1000,1,5,0,0.1,0.58,1,6.8,2.577520263
7.61,1.91,8,0,0,0,1.392,2.8,2.2,16.37870651,26.02148027,1.045503428,242,900,3,4.241535237,0,0.1,0.676186133,1,6.8,2.655934411
7.83,1.83,6,0,0,0,0.52,4.13,3,39.80582524,18.93203883,1.107275706,1275,1000,2,5.304048117,0,0.5,1,1,7.2,2.726732432
7.83,1.83,6,1,0,0,0.74,20.4,4.2,50.62483,13.84702,1.28,382,900,2,2,0,1,1,1,8.8,1.803540343
7.61,1.91,8,0,0,0,0.5,7.6,3.8,39.82401656,12.37060041,1.106347103,567.4895172,900,2,5,0,0.1,1,1,6.8,3.167817669
7.83,1.83,6,0,0,0,0.730148612,3.641154155,8,35,6,1.142748564,721.3,950,0.333,10,0,0.1,1,0,6.8,2.466736606
6.74,1.66,5,0,0,0,0.31,4.55164627,4,31.5,35.4,1.043392611,516,975,0.75,5.506851468,0,0.1,0.4,0,7.5,2.654912942
9.35,1.65,10,1,0,0,0.802576972,3.343683832,5.09298,39.51890034,35.3529699,0.61,796.4704091,1000,1,8.542872664,0,0.5,2,1,7.2,2.365659732
7.4,1.55,5,0,0,0,1.184569487,3.685327292,4,48.2,29.2,1.098105433,311,1050,1,5.609908958,0,0.1,0.8,0,6.7,1.121567996
7.61,1.91,8,0,1,0,3.531120796,5.609565315,4,46.95443,41.72056,1.372962626,826.700258,700,0.5,2,0,0.5,0.757590188,1,7.2,2.168957366
7.61,1.91,8,0,0,0,1.841854557,5.112734201,2.6,17.39077374,24.68879668,0.985543626,354,800,3,4.837964598,0,0.1,0.606935766,1,6.8,2.129720369
7.61,1.91,8,0,0,0,0.37599,6.40078,3.9,45.22917583,26.82011353,0.94,814.3,1000,2,10,0,0.5,0.2,1,7.2,4.578929757
7.61,1.91,8,0,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,1.047210139,741,900,2,5,1,0.5,1,1,7.2,3.93774368
7.61,1.91,8,0,0,0,0.24,3.686837297,4,19.87,17.74,1.081130909,680,1000,1,4.879027022,0,0.5,0.5,0,7.2,3.517947472
