Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,0.74,20.4,4.2,50.62483,13.84702,30.35359,5.17456,1.28,382,0,900,2,2,0,1,1,177.8,1,1,8.8,32.06,16.5,9.87,6.99,4.11,-0.43,-0.32,0.32,42.67,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,0.71,10.6,3.8,40.14181,11.84868,44.99145,3.01806,1.28,279,0,900,2,2,0,1,1,177.8,1,1,8.8,82.98,90.25,88.53,79.71,70.89,-0.58,-0.47,0.47,90.34,1,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.64,8.390841711,4,45.97,26.01,28.02,0,0.912,472.7010242,1,600,2,5,0,0.5,1,177.8,1,1,7.2,97.75789,92.99342,80.47983,53.07041,31.02787,-0.5,-0.39,0.39,97.75789,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.64,7.59719352,4,38.57,20.97,40.46,0,1.022,483.9650926,1,800,2,5,0,0.5,1,177.8,1,1,7.2,83.16327,82.25966,72.5938,60.38142,43.24026,-0.4,-0.29,0.29,83.90258,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.64,4.404474377,4,26.98,18.46,54.56,0,1.034,808.3604164,1,1000,2,5,0,0.5,1,177.8,1,1,7.2,82.42395,84.20379,74.53793,41.76163,24.18236,-0.6,-0.49,0.49,84.20379,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,43.81577576,15.31728665,4,64.49250153,24.25824507,10.50175215,2.151254606,0.4,130,0,800,1,10,1,0.5,0.5,177.8,1,1,7.2,58.99541,85.90237,91.18348,85.73524,80.287,-0.63,-0.52,0.52,93.72,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,17.62886598,15.395189,4,62.77311618,23.5883447,12.37702343,3.348183108,0.7,308,0,800,1,10,1,0.5,0.5,177.8,1,1,7.2,76.81082,93.89089,96.9994,93.89089,90.78238,-0.63,-0.52,0.52,97.9,1,1,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.02,7.888918341,3.9,55.34003831,0,27.53831418,17.12164751,1.09,887.8015291,0,900,3,5,0,0.1,1,177.8,1,2,6.8,58.49635,50.34276,57.42088,62.17297,64.499,-0.9,-0.79,0.79,64.499,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.9,7.430009163,4,57.40977324,0,29.1280741,13.46215267,1.13,952.026951,0,900,3,5,0,0.1,1,177.8,1,2,6.8,1.09606,20.95481,21.07987,17.95349,14.00175,-0.7,-0.59,0.59,21.07987,0,0,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,0.91,7.795784451,4.2,63.15874818,0,24.12842549,12.71282633,1.02,840.6499871,0,900,3,5,0,0.1,1,177.8,1,2,6.8,81.7566,92.66141,97.53856,95.11249,91.16075,-0.7,-0.59,0.59,97.53856,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,10.86985168,13.66198627,4,59.06151003,25.05279831,11.13384372,4.751847941,0.98,367.7219509,1,800,2,5,0,0.5,0.8,177.8,0,1.131,7.2,53.35047,56.18902,59.02757,55.24284,51.45811,-0.7,-0.59,0.59,59.02757,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,11.06156672,9.706091491,4,53.03882666,24.26289618,18.0220001,4.676277061,0.99,427.3234394,1,900,2,5,0,0.5,0.8,177.8,0,1.131,7.2,60.56284,63.90121,67.23958,66.49179,65.744,-0.7,-0.59,0.59,67.23958,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,6.107048027,8.641170168,4,44.69627902,30.98060002,22.0205661,2.302554861,1,537.1664723,1,1000,2,5,0,0.5,0.8,177.8,0,1.131,7.2,79.07846,81.4544,83.83034,82.90906,81.98778,-0.7,-0.59,0.59,83.83034,0,0,1
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,1.33,7.46479067,4,44.97,10.46,43.13,1.44,1.076426567,364.5,1,900,1,5.852921608,0,0.5,1,127,0,0.785,7.2,86.89098,78.26116,69.16168,60.0622,50.96272,-0.45,-0.34,0.34,65.16,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,1.45,6.916123425,4,41.39,15.22,40.78,2.62,1.039780453,324.8,1,900,1,6.499653248,0,0.5,1,127,0,0.785,7.2,90.59758,80.96262,71.09073,61.21884,51.34695,-0.49,-0.38,0.38,90.83,1,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,1.75,7.556611419,4,45.39,11.35,40.43,2.84,1.055266294,367,1,900,1,6.246802621,0,0.5,1,127,0,0.785,7.2,94.63016,85.50853,77.46711,69.42569,61.38427,-0.49,-0.38,0.38,95.07,1,1,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,1.55,7.47844202,4,40.97,12.5,43.87,2.66,1.058035152,344,1,900,1,6.409257634,0,0.5,1,127,0,0.785,7.2,95.19792,87.53675,79.69946,71.86217,64.02488,-0.49,-0.38,0.38,96.31,1,1,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,1.35,8.678522853,12,34.19630615,16.82393741,42.32599403,6.6537624,1.07287687,286.3,1,900,1,6.536066084,0,0.5,1,127,0,0.785,7.2,56.71595,43.62445,31.47226,19.32007,7.16788,-0.54,-0.43,0.43,87.53,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,4.066009513,0,25.5,18,42.4,14.1,1.065750053,819.8273613,1,900,2,5,0,0.5,1,127,0,1,7.2,39.32117,26.63263,15.91539,5.19815,0.01,-0.5,-0.39,0.39,39.93,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,2.3,2.3,4,44.4,4.7,38.8,12.1,1.120989563,601.5032528,1,900,2,5,0,0.5,1,127,0,1,7.2,79.10441,69.4152,57.88838,46.36156,34.83474,-0.44,-0.33,0.33,81.22,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,2.7,2.7,4,44.4,4.7,38.8,12.1,1.11747328,561.273538,1,900,2,5,0,0.5,1,127,0,1,7.2,80.16243,70.9187,62.90004,54.88138,46.86272,-0.44,-0.33,0.33,82.58,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,3.4,3.4,4,44.4,4.7,38.8,12.1,1.119818719,547.6286857,1,900,2,5,0,0.5,1,127,0,1,7.2,83.78197,78.79815,69.55441,60.31067,51.06693,-0.49,-0.38,0.38,84.09,0,0,0
