Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,5.9,13.9,5,47.74,31.34,17.88,3.04,1.07,118,1,800,2,2,0,0.1,2,177.8,1,1,6.8,91.61,82.35,72.59,57.77,43.86,-0.46,-0.35,0.35,96.6,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,9.9,23.9,4,58.52,23.15,12.44,5.88,1.13,23,1,800,2,2,0,0.1,2,177.8,1,1,6.8,60.63,65.56,59.85,50.29,42.19,-0.56,-0.45,0.45,66,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.78,4.72,4,49.17,15.13,28.89,6.8,0.94,461,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,87.32553,81.04055,57.21845,33.39635,9.57425,-0.5,-0.39,0.39,87.32,0,0,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,1.57,4.76,4,41.58,17.59,25.91,14.9,0.93,448,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,12.28592,17.17705,17.32911,15.50443,13.12223,-0.7,-0.59,0.59,17.33,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.75,4.94,4,46.79,16.83,24.89,11.49,0.92,451,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,55.95132,85.09537,94.47216,96.5756,94.04133,-0.8,-0.69,0.69,96.8,1,1,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.43,4.82,4,49.51,17.07,24.56,8.84,0.94,459,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,11.42427,13.80648,12.6914,10.30919,6.96396,-0.6,-0.49,0.49,13.8,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,5.044,4.884,4,61.92,21.76,13.81,2.51,1.03,651.9364056,0,25,24,0,0,0.1,0.2,177.8,1,1,6.8,91.8,89.7,82.1,76.5,70.9,-0.5,-0.39,0.39,91.8,1,0,0
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,3.54,5.382165047,5,20.901,41.239,37.86,0,1.279560547,568,0,25,24,2,0,0.2,0.3,177.8,1,1.437227069,7,83.6,91.98,97.11,98.66,88.99,-0.73,-0.62,0.62,99.2,1,1,1
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,3.03,6.216885976,5,45.44372138,22.08075383,26.10742407,4.793409562,1.128950691,693.1074976,0,25,24,2,0,0.2,0.3,177.8,1,1.159404987,7,62.36,81.45,62.36,25.4,7.31,-0.6,-0.49,0.49,81.45,0,0,0
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,3.32,5.670090774,5,48.50708628,21.58439382,24.69341976,3.916257473,1.090291443,612.8703852,0,25,24,2,0,0.2,0.3,177.8,1,1.076769905,7,32.29,32.9,33.51,44.45,8.4,-0.8,-0.69,0.69,44.45,0,0,1
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,3.82,8.900250026,5,40.73171633,18.40244602,32.14477425,8.664845894,1.155020745,529.4640969,0,400,2,2,0,0.2,0.3,177.8,1,0.897708239,7,76.08,89.59,93.15,91.54,74.22,-0.7,-0.59,0.59,93.15,1,0,1
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,3.18,8.724496581,5,41.55130663,18.97100134,30.44229886,8.71096451,1.173577049,574.6732444,0,600,2,2,0,0.2,0.3,177.8,1,0.955323921,7,56.24,87.74,90.05,82.15,41.2,-0.7,-0.59,0.59,90.05,1,0,1
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,4.54,8.265691229,5,41.13242312,19.65648581,31.22343585,7.894962306,1.148786719,583.2846909,0,800,2,2,0,0.2,0.3,177.8,1,0.729920462,7,8.92,15.73,17.59,8.61,-0.37,-0.7,-0.59,0.59,17.59,0,0,1
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,8.01,6.526925691,5,32.47683242,9.537548777,50.40273921,8.595241404,1.144257351,676.4285953,0,1000,2,2,0,0.2,0.3,177.8,1,0.910772112,7,29.55,40.86,41.34,25.99,10.62,-0.7,-0.59,0.59,41.34,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,2.68,9.162448165,5,39.65578424,11.62171753,9.066713982,0,1.2,687.2452256,0,700,4,5,0,0.5,1,177.8,1,1,7.2,87.492,94.292,93.494,77.639,60.604,-0.6,-0.49,0.49,95.47,1,1,0
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.37,4.32,4.5,26.7,15.9,57.3,0,1.05,1220,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,74.946,83.455,91.964,95.228,95.683,-1,-0.89,0.89,95.23,1,1,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.44,6.28,4,32.9,8.9,58.2,0,1.05,924,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,76.263,76.861,77.459,85.068,81.264,-0.8,-0.69,0.69,85.068,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.59,5.33,4,33.2,10.1,56.6,0,1.05,757,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,61.642,73.056,84.47,89.661,85.394,-0.8,-0.69,0.69,89.661,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.14,6.47,4,39.5,7.2,53.3,0,1.05,445,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,60.826,70.746,80.666,87.378,92.08,-0.9,-0.79,0.79,92.08,1,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.26,6.86,4,28.8,16.5,54.7,0,1.01,878,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,54.309,64.242,74.175,75.822,77.469,-0.9,-0.79,0.79,77.469,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.31,4.63,4,25.3,10.8,65.9,0,1.01,1068,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,67.291,75.011,82.731,93.475,82.042,-0.8,-0.69,0.69,93.475,1,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.42,4.44,4,32.6,6.7,60.8,0,1.04,1650,1,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,63.701,66.307,63.701,61.218,57.358,-0.6,-0.49,0.49,66.307,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1.25,1.46,3.4,41.7,34.2,13.5,10.3,1.02,228,0,1000,1,5,0,0.1,0.58,177.8,1,1,6.8,67.922,87.934,95.287,97.091,90.465,-0.8,-0.69,0.69,97.091,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,1.33,1.38,3.6,40.5,34.1,15.5,8.8,1.03,217,0,1000,1,5,0,0.1,0.58,177.8,1,1,6.8,86.722,85.213,81.173,68.676,56.96,-0.5,-0.39,0.39,86.722,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,1.46,1.4,4,47.2,35.5,11.5,5.6,1.04,227,0,1000,1,5,0,0.1,0.58,177.8,1,1,6.8,49.607,46.752,34.254,25.259,15.482,-0.5,-0.39,0.39,49.607,0,0,0
Cu,63.546,29,7.69,1.9,10,0,0,0,0,0,1,0,1.34,1.1,4,40.8,35.5,15.5,11.6,1.01,230,0,1000,1,5,0,0.1,0.58,177.8,1,1,6.8,11.118,17.286,21.192,28.706,18.337,-0.8,-0.69,0.69,28.706,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,1.68,6.424020884,3.7,58.2,18.8,23,0,1.100377892,648,1,800,5,5,0,0.5,0.35,177.8,1,1,7.2,92.37539,94.40578,96.43617,97.10286,97.28469,-1,-0.89,0.89,96.4,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,1.49,6.327286299,4,49.1,23.6,27.3,0,1.120982132,673,1,800,5,5,0,0.5,0.35,177.8,1,1,7.2,84.769,85.61752,86.46604,87.46608,84.58717,-0.8,-0.69,0.69,87.5,0,0,1
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,0.83,2.893584137,4,52.62841956,19.63034232,23.32293284,5.656855768,1.875726211,1149.935148,1,70,3,5.787242461,0,0.1,4.88,127,1,0.5,6.8,76.49641,87.38255,91.2609,94.8,95.02187,-0.8,-0.69,0.69,94.8,1,0,1
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,1.22,2.751068733,4,53.28899487,19.10123359,21.63286372,6.641636969,1.898754538,1149.754734,1,70,3,5.613669392,0,0.1,4.88,127,1,0.5,6.8,3.13805,4.88906,5.77764,5.93444,5.77764,-0.8,-0.69,0.69,5.93444,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,3.2,7.352055808,5,47.38,17.67,28.04,6.89,0.978874495,399.3817123,1,500,1,20,0,0.1,0.2,177.8,1,1,6.8,0.01,35.57381,95.06253,95.49309,95.92365,-0.75,-0.64,0.64,98.47,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,3.2,6.113147006,5,50.28,19.37,20.11,10.23,0.956250267,536.379432,0,500,1,20,0,0.1,0.2,177.8,1,1,6.8,0.01,11.53434,28.14669,22.94412,17.74155,-0.7,-0.59,0.59,28.14669,0,0,1
Co,58.93,27,7.81,1.88,7,0,0,1,0,0,0,0,3.7,5.960251017,5,49.8,21.9,18.39,9.9,0.919753394,454.229189,0,500,1,20,0,0.1,0.2,177.8,1,1,6.8,0.01,14.54824,34.56918,26.74738,18.92558,-0.7,-0.59,0.59,34.56918,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.7,8.655745476,4,60,14.3,15.09,11.34,1.07,639.033058,0,800,2,4.940296812,0,0.5,1,177.8,1,1,7.2,67.80458,74.55222,79.27131,78.29299,73.2098,-0.76,-0.65,0.65,80,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.7,8.07019133,4,70,13.19,10.62,11.17,1.04,521.7646216,0,800,2,5.186529766,0,0.5,1,177.8,1,1,7.2,60.69811,92.07054,96.25074,97.05225,97.69357,-0.76,-0.65,0.65,98,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,3.9,7.939083938,4,52.71,16.17,10.86,20.27,1.08,730.5940198,0,800,2,5.013314504,0,0.5,1,177.8,1,1,7.2,52.26069,46.24726,28.79508,17.39652,10.31134,-0.46,-0.35,0.35,52.3,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,1.25,5.502364393,3.9,36.57,18.88,22.25,22.29,0.95,431.4483598,0,900,3,5,0,0.5,0.5,127,1,1,7.2,71,76,85,88,91.2,-0.9,-0.79,0.79,91.2,1,0,1
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.6,10.64064329,4.1,52.43,27.22,20.34,0,1.02,733.2495942,0,800,3,4.453063802,0,0.1,2,127,1,0.5,6.8,30,48,70,82,74,-0.8,-0.69,0.69,82,0,0,1
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.63,9.029628337,4,43.16,27.81,29.02,0,0.91,731.7803518,0,900,3,5.220839802,0,0.1,2,127,1,0.5,6.8,17.5,32,41,44,43,-0.8,-0.69,0.69,44,0,0,1
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.25,15.8146,2.2,54.51531953,24.36164919,16.31191296,6.268571257,1.083012286,651.3157736,0,1000,3,5,0,0.5,0.8,127,1,0.5,6.8,71.38914,93.64125,89.0106,78.96676,68.92292,-0.68,-0.57,0.57,95,1,1,1
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.25,15.7266,3.1,60.17021522,21.87210175,13.51630707,4.495061079,1.101689477,666.0178213,0,900,3,5,0,0.5,0.8,127,1,0.5,6.8,50.99178,60.29037,45.02993,33.20357,21.37721,-0.53,-0.42,0.42,63,0,0,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.25,9.628785995,11.2,52.19873382,22.10431988,20.68468222,4.942910541,1.318145876,925.6946335,1,900,3,5,0,0.5,0.8,127,1,0.5,6.8,4.61131,4.37596,3.46214,2.11307,0.764,-0.62,-0.51,0.51,5.9,0,0,1
Cu,63.546,29,7.69,1.9,10,0,0,0,0,0,0,1,0.32,4.248554465,4,46.378,48.64,0,4.98,1.02,610.1,1,900,1,5,0,0.1,0.8,50,1,1,6.8,74.30662,87.46025,91.92573,84.34569,72.37238,-0.7,-0.59,0.59,92,1,0,1
Cu,63.546,29,7.69,1.9,10,0,0,0,0,0,0,1,4.17,5.1,12,39.65,46.81,0,13.53,0.98,40.1,1,900,1,5,0,0.1,0.8,50,1,1,6.8,18.10743,23.77843,20.76052,17.17884,9.2527,-0.6,-0.49,0.49,23.77843,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,1.64,0,11.27,70.96,0,17.77,0.88,1450.3,1,900,1,5,0,0.1,0.8,50,1,1,6.8,32.81474,16.57111,7.99081,4.68314,3.53692,-0.5,-0.39,0.39,32.81474,0,0,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.53,4.674202544,3.2,34.77,8.53,56.69,0,0.98,720.7898989,1,1000,2,10,0,0.5,0.2,127,1,1,7.2,40.10058,47.50606,54.91154,62.31702,71.7441,-1,-0.89,0.89,71.9,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,2.013,7.33,4,36.63105128,21.98734454,29.93883481,9.721585227,1.115529381,429.0655657,0,750,3,4.576169511,0,0.5,0.2,177.8,0,2,7.2,42.49455,86.04744,97.56943,88.18913,51.83607,-0.66,-0.55,0.55,95,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,2.013,7.33,4,54.27159929,19.15167018,19.37785306,5.927435139,1.106360812,579.8235931,0,750,3,4.308834122,0,0.5,1,177.8,1,2,7.2,43.55469,86.85168,96.73776,88.11445,52.89588,-0.73,-0.62,0.62,97.63,1,1,1
Mn,54.938,25,7.4,1.55,5,0,0,1,0,0,0,0,1.90887931,7.33,4,36.59432841,25.78088087,31.0285478,6.956885778,1.133385547,431.0144192,0,750,3,4.205587224,0,0.5,0.2,177.8,0,2,7.2,16.44704,10.83632,5.35867,1.98565,0.1773,-0.51,-0.4,0.4,16.88,0,0,0
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,2.221241379,7.33,4,47.94932106,22.75102442,20.85411839,7.176134617,1.109533618,438.1264455,0,750,3,4.097252344,0,0.5,0.2,177.8,0,2,7.2,8.61124,9.53392,5.33303,4.37532,3.00437,-0.61,-0.5,0.5,9.58,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.943586207,7.33,4,41.27103246,19.55416971,28.85589111,9.78857786,1.140595661,492.2024542,0,750,3,4.293429453,0,0.5,0.2,177.8,0,2,7.2,22.7493,12.42225,6.05696,2.68055,0.01,-0.41,-0.3,0.3,29.6,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,2.792052919,0,20.83,11.16,51.24,16.77,0.920854031,807,0,1000,1,7.527151868,0,0.5,0.5,177.8,0,2,7.2,68.43525,86.67787,68.43525,50.19263,31.95001,-0.6,-0.49,0.49,87,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,0.4,3.770429861,4,24.1,16.53,38.8,20.57,1.033348485,742,1,1000,1,5.779426014,0,0.5,0.5,177.8,0,2,7.2,82.99815,77.73628,65.1124,52.48852,39.86464,-0.47,-0.36,0.36,84.7,0,0,0
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,0.35,3.773592546,4,20.39,19.1,39.61,20.9,1.062521486,559,1,1000,1,5.080985566,0,0.5,0.5,177.8,0,2,7.2,12.67698,14.65585,15.86896,14.65585,13.44274,-0.77,-0.66,0.66,18,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.24,3.686837297,4,19.87,17.74,45.67,16.72,1.081130909,680,1,1000,1,4.879027022,0,0.5,0.5,177.8,0,2,7.2,67.88214,88.40984,92.53077,91.73952,88.44652,-0.668,-0.558,0.558,92.71,1,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,1.08,5.762991436,3.7,12.94,24.29,32.64,30.13,1.01,405.6,1,800,3,5,0,0.5,0.5,127,1,1,7.2,38.89694,91.63244,91.63244,95.44036,93.93363,-0.8,-0.69,0.69,95.44036,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,1.79,7.03542074,4.2,53,42.6,4.4,0,1.23,842.3380922,1,800,2,10,0,0.5,1,177.8,1,1,7.2,87.87121,90.91879,96.83909,91.86804,87.74631,-0.7,-0.59,0.59,96.83909,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,1.57,7.578526301,3.7,78.1,16.9,5,0,1.09,502.4206011,1,800,2,10,0,0.5,1,177.8,1,1,7.2,62.46638,73.50762,71.73402,62.61626,51.02547,-0.6,-0.49,0.49,73.50762,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.586508603,0,31.87544991,51.73092854,10.71326344,5.362906339,0.930564458,802.5708495,0,800,2,10,0,0.5,1,177.8,1,1,7.2,77.8042,63.71539,55.99652,34.03896,27.84388,-0.5,-0.39,0.39,77.8042,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,6.037704796,0,27.58817952,53.79652658,10.21760474,7.907209235,1.043637993,835.9429409,1,800,2,10,0,0.5,1,177.8,1,1,7.2,7.26022,12.93072,7.26022,3.2634,2.16427,-0.6,-0.49,0.49,12.93072,0,0,0
Sb,121.76,51,8.35,2.05,10,0,0,0,0,0,1,0,0.03,9.940460042,4,64.19,17.05,12.19,6.57,1.036860502,33.6,1,800,2,6.472776613,0,0.1,1,177.8,1,1,6.8,53.85865,57.88775,61.91685,77.83742,82.62199,-0.9,-0.79,0.79,82.62199,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,3.899049689,9.036229985,4,55.4,23.6,15.8,5.2,1.04,425.3816359,0,700,2,2,0,0.5,2.5,177.8,1,1,7.65,84.82634,78.12473,70.77682,58.08092,38.47577,-0.45527,-0.34527,0.34527,86.84755,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,2.157810922,4.935546221,4,37.2,21.4,32.2,9.1,0.99,570.0001165,0,800,2,2,0,0.5,2.5,177.8,1,1,7.65,78.59643,71.48235,64.07119,51.10901,34.08359,-0.45614,-0.34614,0.34614,81.11444,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,0.047765564,6.499302535,4,38,18.9,31.7,11.4,0.97,441.5510748,0,900,2,2,0,0.5,2.5,177.8,1,1,7.65,79.143,67.641,52.26275,34.62044,22.87596,-0.45772,-0.34772,0.34772,83.65753,0,0,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.61,4.578502677,3.3,18.3,11.21,61.65,8.18,0.996642012,752.9473874,1,1000,3,10,0,0.1,0.569908296,127,0,4,6.8,67.76384,85.25511,70.59747,58.79924,45.12049,-0.6,-0.49,0.49,85.25511,0,0,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,3.22,3.912861367,3.2,18.3,11.21,61.65,8.18,0.958405613,593.4888966,1,1000,3,10,0,0.1,0.608025058,127,0,4,6.8,78.30094,97.38512,79.73436,63.17974,49.1547,-0.6,-0.49,0.49,97.38512,1,1,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.64,29.07,4,46.79,27.52,14.73,10.95,1.097494257,519.1764894,1,1000,2,5,0,0.5,0.749372608,177.8,1,1.006385545,7,47.33116,68.02201,88.71286,97.07242,94.27329,-0.8,-0.69,0.69,97.07242,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,13.12,15.61466589,12,46.79,27.52,14.73,10.95,1.067054256,377.842248,1,1000,2,5,0,0.5,0.737172073,177.8,1,0.975526104,7,7.52334,37.46368,67.40402,93.35707,85.98768,-0.8,-0.69,0.69,93.35707,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,32.8,13.66841813,12,46.79,27.52,14.73,10.95,1.01761982,422.9044867,1,1000,2,5,0,0.5,0.767233907,177.8,1,0.916937111,7,6.52652,15.71154,24.89656,46.86231,61.63668,-0.9,-0.79,0.79,61.63668,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,52.48,13.63201182,12,46.79,27.52,14.73,10.95,0.826324954,425.9676049,1,1000,2,5,0,0.5,0.768598419,177.8,1,0.859247954,7,5.70769,12.50746,19.30723,25.50178,29.27547,-0.9,-0.79,0.79,29.27547,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2.14,5.401029567,4,55.02691439,8.942524744,18.7011634,17.32939746,0.92,143.97,1,1000,2,10,0,0.5,0.53167424,127,1,0.838457515,7.2,32.04279,75.108,92.66978,93.92241,94.07272,-1,-0.89,0.89,95.85145,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2.14,4.054771776,4,56.95692026,13.73052246,23.72135655,5.591200733,0.91,113.21,0,1000,2,10,0,0.5,0.610493815,127,1,1.156815063,7.2,30.23901,68.0432,75.108,83.67594,85.63004,-0.9,-0.79,0.79,85.63004,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.8,5.82,4,28.2,9.1,56.6,6.1,1.14,204,0,1000,1,5,0,0.5,0.3,177.8,0,1.103031998,7.2,45.00973,71.56698,91.43461,88.1407,84.84679,-0.68,-0.57,0.57,91.81,1,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,6.13,0,27.5,9.8,55.6,7.1,1.13,215,0,1000,1,5,0,0.5,0.3,177.8,0,1.2023919,7.2,43.61699,53.29024,42.66713,36.35129,30.03545,-0.76,-0.65,0.65,56,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,1.826387217,5.92,3.4,44.61917052,29.42200348,21.6073465,4.351479503,0.878172676,390.6150727,0,800,1,20,0,0.5,0.2,177.8,1,0.25,7.2,79.55611,88.58101,94.07093,97.31133,96.72217,-0.8,-0.69,0.69,97.31133,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.782184718,5.814259386,3,38.95363026,25.22727273,24.26479561,11.5543014,0.943377209,435.9137655,0,800,1,20,0,0.5,0.2,177.8,1,0.25,7.2,32.37138,22.50696,12.18932,7.92363,4.831,-0.5,-0.39,0.39,32.37138,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,1,0,0,0,0,1.883446736,6.604098759,3,45.24570238,25.79440875,23.69855878,5.261330092,0.914402573,415.5792834,0,800,1,20,0,0.5,0.2,177.8,1,0.25,7.2,2.61818,3.79124,5.25757,4.96431,3.95121,-0.7,-0.59,0.59,5.25757,0,0,1
Mn,54.938,25,7.4,1.55,5,0,0,0,1,0,0,0,0.44,8.2,4,38,43.9,10.3,5,1.7,938,1,900,2,2,0,0.1,0.76,177.8,0,1.459184709,6.8,34.32968,38.78376,30.98033,23.1769,15.37347,-0.566,-0.456,0.456,40.2815,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.73,8.2,4,34.6,44.6,11.7,6,1.75,724,0,900,2,2,0,0.1,0.76,177.8,0,1.130203427,6.8,61.11545,57.31559,40.2771,17.08712,0.01,-0.552,-0.442,0.442,61.83849,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,0,1,0,0,0,1.11,10.5,4,41.5,41.6,9.8,4.4,1.79,758,0,900,2,2,0,0.1,0.76,177.8,0,1.10156548,6.8,16.03643,14.61906,9.85523,5.0914,0.32757,-0.5,-0.39,0.39,16,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,2.88,9.5,4,37.3,43.6,10.7,5.3,1.83,615,0,900,2,2,0,0.1,0.76,177.8,0,1.23101738,6.8,35.17478,60.02505,77.84435,80.09187,77.84435,-0.755,-0.645,0.645,84,0,0,1
Cu,63.546,29,7.69,1.9,10,0,0,0,1,0,0,0,1.11,14.6,4,45.9,32.9,7,3.9,1.8,807,0,900,2,2,0,0.1,0.76,177.8,0,1.288645008,6.8,15.70764,21.87321,27.08306,21.87321,16.66336,-0.777,-0.667,0.667,29.67526,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,0.5,7.6,3.8,39.82401656,12.37060041,47.80538302,0,1.106347103,567.4895172,1,900,2,5,0,0.1,1,177.8,1,5,6.8,16.03805,44.65509,77.68171,105.60591,100.56466,-0.784,-0.674,0.674,106,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,6.9,8.424053575,2,47.52570273,39.00275896,13.3516746,-0.517386057,2.57,442.8072677,1,800,1,2.679615136,0,0.5,0.5,177.8,1,1,7.2,84.99974,89.65617,92.1,89.65617,87.21234,-0.7,-0.59,0.59,92.1,1,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,2.776728994,0,36.79,0,52,11.21,0.98,768,1,1100,1,6.060807798,0,0.1,0.6,127,1,1,6.8,3.98235,12.26377,20.54519,24.05852,15.91652,-0.8,-0.69,0.69,24.05852,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.458155678,2.655390688,4,49.22,0,48.34,10.72,0.95,646,0,1100,1,7.216868558,0,0.1,0.6,127,1,1,6.8,89.42521,92.31771,88.85725,79.03065,67.08288,-0.6,-0.49,0.49,92.31771,1,0,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,0.486178484,2.542172372,4,45.99,0,49.69,11.67,0.97,702,0,1100,1,5.901441987,0,0.1,0.6,127,1,1,6.8,41.48504,45.03438,41.62084,35.72586,30.21516,-0.6,-0.49,0.49,45.03438,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,1,0,0,0,0,2.560062091,9.614884273,4.18397,49.18032787,45.89968524,5.670219864,0,0.95,495.264182,0,700,1,7.31515653,0,0.5,2,177.8,1,1,7.2,23.33439,20.84032,14.39289,10.86405,6.61883,-0.5,-0.39,0.39,23.33439,0,0,0
